78	,	3.27	,	1.89	,	0.78	,	0.114	,	0.062	,	0.285	,	0.005	,	0.023	,	0.126	,	0.042	,	0.014	,	0.017	,	0.001	,	3.93
98	,	3.24	,	1.96	,	0.7	,	0.1	,	0.063	,	0.27	,	0.007	,	0.022	,	0.099	,	0.041	,	0.012	,	0.015	,	0.002	,	3.92
78.4	,	3.26	,	1.72	,	0.76	,	0.098	,	0.06	,	0.284	,	0.009	,	0.02	,	0.143	,	0.038	,	0.012	,	0.016	,	0.001	,	3.86
76	,	3.21	,	1.94	,	0.74	,	0.098	,	0.059	,	0.256	,	0.004	,	0.019	,	0.099	,	0.045	,	0.013	,	0.016	,	0.001	,	3.89
84.4	,	3.24	,	1.83	,	0.69	,	0.119	,	0.065	,	0.266	,	0.006	,	0.02	,	0.126	,	0.039	,	0.013	,	0.016	,	0.002	,	3.89
84.8	,	3.39	,	1.87	,	0.74	,	0.116	,	0.07	,	0.169	,	0.005	,	0.018	,	0.0097	,	0.045	,	0.012	,	0.015	,	0.001	,	4.05
86.8	,	3.52	,	1.96	,	0.58	,	0.116	,	0.077	,	0.102	,	0.006	,	0.018	,	0.157	,	0.057	,	0.017	,	0.017	,	0.002	,	4.21
82	,	3.26	,	1.9	,	0.69	,	0.11	,	0.06	,	0.248	,	0.011	,	0.021	,	0.125	,	0.037	,	0.14	,	0.017	,	0	,	3.93
82	,	3.25	,	1.7	,	0.83	,	0.102	,	0.05	,	0.282	,	0.006	,	0.018	,	0.126	,	0.041	,	0.011	,	0.014	,	0.002	,	3.85
82.4	,	3.25	,	1.8	,	0.76	,	0.105	,	0.063	,	0.264	,	0.007	,	0.018	,	0.124	,	0.04	,	0.014	,	0.016	,	0.001	,	3.88
80	,	3.18	,	1.96	,	0.71	,	0.104	,	0.051	,	0.257	,	0.007	,	0.02	,	0.083	,	0.049	,	0.013	,	0.014	,	0.002	,	3.87
80	,	3.3	,	1.89	,	0.79	,	0.109	,	0.064	,	0.262	,	0.005	,	0.022	,	0.12	,	0.038	,	0.012	,	0.014	,	0.002	,	3.97
80	,	3.27	,	1.78	,	0.72	,	0.096	,	0.064	,	0.236	,	0.003	,	0.019	,	0.132	,	0.037	,	0.01	,	0.015	,	0.003	,	3.89
84	,	3.18	,	1.89	,	0.77	,	0.106	,	0.053	,	0.252	,	0.002	,	0.019	,	0.087	,	0.05	,	0.012	,	0.014	,	0.003	,	3.84
72.4	,	3.29	,	1.79	,	0.81	,	0.101	,	0.067	,	3.12	,	0.002	,	0.021	,	0.157	,	0.037	,	0.012	,	0.014	,	0.003	,	3.92
74.4	,	3.25	,	1.92	,	0.78	,	0.097	,	0.067	,	0.276	,	0.005	,	0.019	,	0.121	,	0.041	,	0.01	,	0.015	,	0.002	,	3.92
82.8	,	3.24	,	1.89	,	0.84	,	0.115	,	0.062	,	0.297	,	0.002	,	0.023	,	0.124	,	0.046	,	0.014	,	0.016	,	0.003	,	3.91
88.4	,	3.25	,	1.75	,	0.71	,	0.099	,	0.032	,	0.29	,	0.002	,	0.022	,	0.034	,	0.069	,	0.019	,	0.013	,	0.004	,	3.86
87.2	,	3.21	,	1.83	,	0.79	,	0.106	,	0.066	,	0.271	,	0.007	,	0.024	,	0.146	,	0.035	,	0.012	,	0.017	,	0.003	,	3.85
84	,	3.25	,	1.8	,	0.77	,	0.099	,	0.058	,	0.301	,	0.003	,	0.014	,	0.081	,	0.043	,	0.014	,	0.013	,	0.001	,	3.88
88.2	,	3.23	,	1.8	,	0.7	,	0.124	,	0.063	,	0.297	,	0.008	,	0.03	,	0.086	,	0.038	,	0.011	,	0.014	,	0.002	,	3.87
88.8	,	3.19	,	1.77	,	0.77	,	0.098	,	0.062	,	0.295	,	0.006	,	0.028	,	0.143	,	0.038	,	0.011	,	0.016	,	0.002	,	3.81
84.4	,	3.25	,	1.86	,	0.7	,	0.114	,	0.068	,	0.203	,	0.008	,	0.022	,	0.106	,	0.04	,	0.012	,	0.014	,	0.002	,	3.91
76.8	,	3.28	,	1.81	,	0.72	,	0.094	,	0.054	,	0.211	,	0.002	,	0.018	,	0.117	,	0.038	,	0.01	,	0.014	,	0.002	,	3.92
83.2	,	3.26	,	1.9	,	0.76	,	0.106	,	0.058	,	0.263	,	0.004	,	0.021	,	0.11	,	0.044	,	0.012	,	0.014	,	0.002	,	3.93
74	,	3.27	,	1.88	,	0.79	,	0.115	,	0.063	,	0.257	,	0.003	,	0.02	,	0.101	,	0.045	,	0.013	,	0.014	,	0.002	,	3.94
80	,	3.26	,	1.86	,	0.87	,	0.108	,	0.055	,	0.273	,	0.003	,	0.016	,	0.097	,	0.046	,	0.013	,	0.013	,	0.001	,	3.91
84	,	3.28	,	1.78	,	0.71	,	0.112	,	0.051	,	0.237	,	0.003	,	0.019	,	0.091	,	0.051	,	0.014	,	0.014	,	0.003	,	3.91
72.2	,	3.22	,	1.72	,	0.67	,	0.117	,	0.056	,	0.206	,	0.007	,	0.025	,	0.124	,	0.038	,	0.011	,	0.01	,	0.001	,	3.84
82.4	,	3.24	,	1.91	,	0.8	,	0.114	,	0.054	,	0.295	,	0.002	,	0.019	,	0.058	,	0.046	,	0.013	,	0.007	,	0.003	,	3.92
74.8	,	3.25	,	1.81	,	0.8	,	0.111	,	0.055	,	0.289	,	0.007	,	0.02	,	0.111	,	0.047	,	0.013	,	0.013	,	0.001	,	3.89
82.8	,	3.24	,	1.84	,	0.78	,	0.109	,	0.058	,	0.269	,	0.013	,	0.021	,	0.102	,	0.047	,	0.013	,	0.012	,	0.002	,	3.89
82.8	,	3.22	,	1.93	,	0.7	,	0.116	,	0.063	,	0.232	,	0.009	,	0.021	,	0.09	,	0.046	,	0.012	,	0.014	,	0.001	,	3.9
82.4	,	3.3	,	1.9	,	0.71	,	0.106	,	0.074	,	0.235	,	0.002	,	0.016	,	0.135	,	0.039	,	0.011	,	0.015	,	0.002	,	3.96
84.8	,	3.23	,	1.87	,	0.83	,	0.12	,	0.078	,	0.286	,	0.009	,	0.025	,	0.121	,	0.043	,	0.014	,	0.015	,	0.002	,	3.9
77.2	,	3.29	,	1.9	,	0.81	,	0.133	,	0.071	,	0.248	,	0.004	,	0.021	,	0.093	,	0.047	,	0.014	,	0.015	,	0.001	,	3.97
80.4	,	3.24	,	1.88	,	0.77	,	0.118	,	0.058	,	0.24	,	0.006	,	0.019	,	0.091	,	0.045	,	0.012	,	0.012	,	0.001	,	3.9
88	,	3.21	,	1.74	,	0.76	,	0.113	,	0.057	,	0.251	,	0.004	,	0.024	,	0.12	,	0.041	,	0.012	,	0.012	,	0.001	,	3.83
80	,	3.24	,	1.85	,	0.77	,	0.103	,	0.062	,	0.316	,	0.005	,	0.024	,	0.117	,	0.038	,	0.013	,	0.016	,	0.002	,	3.89
84.4	,	3.3	,	1.94	,	0.84	,	0.132	,	0.067	,	0.251	,	0.01	,	0.022	,	0.112	,	0.045	,	0.012	,	0.015	,	0.001	,	3.99
74	,	3.21	,	1.8	,	0.76	,	0.109	,	0.066	,	0.209	,	0.002	,	0.019	,	0.129	,	0.042	,	0.011	,	0.015	,	0.001	,	3.85
76.8	,	3.22	,	1.83	,	0.83	,	0.114	,	0.063	,	0.309	,	0.004	,	0.021	,	0.09	,	0.036	,	0.011	,	0.014	,	0.002	,	3.87
82.8	,	3.15	,	1.82	,	0.76	,	0.113	,	0.059	,	0.302	,	0.005	,	0.017	,	0.074	,	0.049	,	0.013	,	0.014	,	0.001	,	3.79
79.2	,	3.18	,	1.96	,	0.79	,	0.113	,	0.061	,	0.276	,	0.004	,	0.024	,	0.092	,	0.045	,	0.012	,	0.015	,	0.22	,	3.87
65.4	,	3.17	,	1.7	,	0.68	,	0.12	,	0.065	,	0.222	,	0.002	,	0.026	,	0.029	,	0.037	,	0.01	,	0.014	,	0.22	,	3.77
62.8	,	3.26	,	1.87	,	0.78	,	0.107	,	0.056	,	0.216	,	0.004	,	0.018	,	0.089	,	0.05	,	0.014	,	0.013	,	0.001	,	3.92
85.2	,	3.18	,	1.88	,	0.84	,	0.117	,	0.061	,	0.286	,	0.01	,	0.031	,	0.092	,	0.042	,	0.012	,	0.014	,	0.001	,	3.85
69.2	,	3.3	,	1.83	,	0.71	,	0.104	,	0.053	,	0.205	,	0.002	,	0.024	,	0.098	,	0.04	,	0.01	,	0.014	,	0.003	,	3.95
71.6	,	3.2	,	1.86	,	0.74	,	0.093	,	0.066	,	0.24	,	0.007	,	0.022	,	0.181	,	0.036	,	0.008	,	0.014	,	0.002	,	3.85
68	,	3.26	,	1.89	,	0.76	,	0.112	,	0.059	,	0.293	,	0.004	,	0.024	,	0.102	,	0.047	,	0.013	,	0.016	,	0.002	,	3.92
80.8	,	3.23	,	1.92	,	0.78	,	0.113	,	0.06	,	0.259	,	0.004	,	0.015	,	0.099	,	0.05	,	0.013	,	0.015	,	0.002	,	3.91
76	,	3.27	,	1.94	,	0.75	,	0.1	,	0.056	,	0.261	,	0.002	,	0.023	,	0.085	,	0.043	,	0.012	,	0.013	,	0.002	,	3.95
86	,	3.222	,	1.73	,	0.71	,	0.107	,	0.073	,	0.259	,	0.004	,	0.016	,	0.104	,	0.041	,	0.011	,	0.008	,	0.002	,	3.84
